Species_1	Protein_1	Species_2	Protein_2	E-value	Weight	Relationship
UP000000803_7227.fasta	tr|A1Z782|A1Z782_DROME	UP000000589_10090.fasta	sp|Q8BX57|PXK_MOUSE	4.12431812546e-127	0.86904261434	Ortholog
UP000000803_7227.fasta	tr|A1Z7L8|A1Z7L8_DROME	UP000000589_10090.fasta	sp|Q64729|TGFR1_MOUSE	1e-200	1.37523445952	Ortholog
UP000000803_7227.fasta	sp|A1Z7T0|PKN_DROME	UP000000589_10090.fasta	sp|Q8BWW9|PKN2_MOUSE	1e-200	1.37523445952	Ortholog
UP000000803_7227.fasta	tr|A1Z7Y7|A1Z7Y7_DROME	UP000000589_10090.fasta	sp|Q3UIZ8|MYLK3_MOUSE	4.45992152397e-91	0.621266793259	Ortholog
UP000000803_7227.fasta	tr|A1Z840|A1Z840_DROME	UP000000589_10090.fasta	sp|Q3UMM4|CDK10_MOUSE	4.11310101991e-157	1.07533591627	Ortholog
UP000000803_7227.fasta	sp|A1Z9X0|APKC_DROME	UP000000589_10090.fasta	sp|Q62074|KPCI_MOUSE	1e-200	1.37523445952	Ortholog
UP000000803_7227.fasta	tr|A1ZAH6|A1ZAH6_DROME	UP000000589_10090.fasta	sp|Q8QZX0|SBK1_MOUSE	9.12162266266e-54	0.364711682874	Ortholog
UP000000803_7227.fasta	tr|A1ZBH7|A1ZBH7_DROME	UP000000589_10090.fasta	sp|Q99JP0|M4K3_MOUSE	2.24574931816e-159	1.09089537464	Ortholog
UP000000803_7227.fasta	tr|A1ZBL9|A1ZBL9_DROME	UP000000589_10090.fasta	sp|Q03141|MARK3_MOUSE	1e-200	1.37523445952	Ortholog
UP000000803_7227.fasta	tr|A4V2C3|A4V2C3_DROME	UP000000589_10090.fasta	sp|Q8C078|KKCC2_MOUSE	4.58126620052e-127	0.868728831419	Ortholog
UP000000803_7227.fasta	sp|A4VCL2|FA20C_DROME	UP000000589_10090.fasta	sp|Q5MJS3|FA20C_MOUSE	8.87073841346e-144	0.983650476125	Ortholog
UP000000803_7227.fasta	tr|A8JR46|A8JR46_DROME	UP000000589_10090.fasta	sp|Q9EQY0|ERN1_MOUSE	7.32120208709e-174	1.19050896227	Ortholog
UP000000803_7227.fasta	tr|B7YZL9|B7YZL9_DROME	UP000000589_10090.fasta	sp|P34152|FAK1_MOUSE	4.47749930207e-171	1.17134883043	Ortholog
UP000000803_7227.fasta	tr|B7Z0W0|B7Z0W0_DROME	UP000000589_10090.fasta	sp|Q61036|PAK3_MOUSE	1e-200	1.37523445952	Ortholog
UP000000803_7227.fasta	tr|B7Z126|B7Z126_DROME	UP000000589_10090.fasta	sp|O55047|TLK2_MOUSE	1e-200	1.37523445952	Ortholog
UP000000803_7227.fasta	tr|D1YSG0|D1YSG0_DROME	UP000000589_10090.fasta	sp|A2ASS6|TITIN_MOUSE	1e-200	1.37523445952	Ortholog
UP000000803_7227.fasta	tr|E1JHB7|E1JHB7_DROME	UP000000589_10090.fasta	sp|P26618|PGFRA_MOUSE	4.03995049475e-86	0.587181271442	Ortholog
UP000000803_7227.fasta	tr|M9PDM4|M9PDM4_DROME	UP000000589_10090.fasta	sp|E9Q3L2|PI4KA_MOUSE	1e-200	1.37523445952	Ortholog
UP000000803_7227.fasta	tr|M9PE01|M9PE01_DROME	UP000000589_10090.fasta	sp|O35495|CDK14_MOUSE	9.02574096681e-156	1.06611281361	Ortholog
UP000000803_7227.fasta	tr|M9PE88|M9PE88_DROME	UP000000589_10090.fasta	sp|O35607|BMPR2_MOUSE	2.57685855258e-112	0.767304567671	Ortholog
UP000000803_7227.fasta	tr|M9PGC5|M9PGC5_DROME	UP000000589_10090.fasta	sp|Q80XP9|WNK3_MOUSE	2.1278157815e-148	1.01541856918	Ortholog
UP000000803_7227.fasta	tr|M9PI41|M9PI41_DROME	UP000000589_10090.fasta	sp|P49025|CTRO_MOUSE	1.55358295562e-117	0.803196510187	Ortholog
UP000000803_7227.fasta	tr|O17432|O17432_DROME	UP000000589_10090.fasta	sp|Q99J95|CDK9_MOUSE	1e-200	1.37523445952	Ortholog
UP000000803_7227.fasta	tr|O18645|O18645_DROME	UP000000589_10090.fasta	sp|Q8BRK8|AAPK2_MOUSE	1e-200	1.37523445952	Ortholog
UP000000803_7227.fasta	sp|O61267|LOK_DROME	UP000000589_10090.fasta	sp|Q9Z265|CHK2_MOUSE	3.49857113691e-101	0.690753515831	Ortholog
UP000000803_7227.fasta	sp|O61443|MK38B_DROME	UP000000589_10090.fasta	sp|P47811|MK14_MOUSE	1e-200	1.37523445952	Ortholog
UP000000803_7227.fasta	tr|O61444|O61444_DROME	UP000000589_10090.fasta	sp|P47809|MP2K4_MOUSE	1.97352476549e-151	1.03627187808	Ortholog
UP000000803_7227.fasta	sp|O61661|CHK1_DROME	UP000000589_10090.fasta	sp|O35280|CHK1_MOUSE	1.49184449592e-151	1.03710746383	Ortholog
UP000000803_7227.fasta	tr|O62602|O62602_DROME	UP000000589_10090.fasta	sp|O09110|MP2K3_MOUSE	9.36827091837e-149	1.01786837461	Ortholog
UP000000803_7227.fasta	sp|O76324|DCO_DROME	UP000000589_10090.fasta	sp|Q9JMK2|KC1E_MOUSE	1e-200	1.37523445952	Ortholog
UP000000803_7227.fasta	sp|O96838|FYV1_DROME	UP000000589_10090.fasta	sp|Q9Z1T6|FYV1_MOUSE	5.9638913471e-147	1.00546465175	Ortholog
UP000000803_7227.fasta	sp|O97143|PLK4_DROME	UP000000589_10090.fasta	sp|Q64702|PLK4_MOUSE	1.05849421349e-113	0.776837707329	Ortholog
UP000000803_7227.fasta	sp|P00522|ABL_DROME	UP000000589_10090.fasta	sp|P00520|ABL1_MOUSE	1e-200	1.37523445952	Ortholog
UP000000803_7227.fasta	sp|P04412|EGFR_DROME	UP000000589_10090.fasta	sp|Q61526|ERBB3_MOUSE	1.21526128878e-171	1.17524325969	Ortholog
UP000000803_7227.fasta	sp|P05130|KPC1_DROME	UP000000589_10090.fasta	sp|P20444|KPCA_MOUSE	1e-200	1.37523445952	Ortholog
UP000000803_7227.fasta	sp|P08181|CSK2A_DROME	UP000000589_10090.fasta	sp|Q60737|CSK21_MOUSE	1e-200	1.37523445952	Ortholog
UP000000803_7227.fasta	sp|P08630|BTKL_DROME	UP000000589_10090.fasta	sp|P24604|TEC_MOUSE	1.56595019078e-170	1.16760996389	Ortholog
UP000000803_7227.fasta	sp|P09208|INSR_DROME	UP000000589_10090.fasta	sp|Q60751|IGF1R_MOUSE	1e-200	1.37523445952	Ortholog
UP000000803_7227.fasta	sp|P10676|NINAC_DROME	UP000000589_10090.fasta	sp|Q1EG27|MYO3B_MOUSE	1e-200	1.37523445952	Ortholog
UP000000803_7227.fasta	sp|P11346|KRAF1_DROME	UP000000589_10090.fasta	sp|P28028|BRAF_MOUSE	1e-200	1.37523445952	Ortholog
UP000000803_7227.fasta	sp|P12370|KAPC1_DROME	UP000000589_10090.fasta	sp|P05132|KAPCA_MOUSE	1e-200	1.37523445952	Ortholog
UP000000803_7227.fasta	sp|P13368|7LESS_DROME	UP000000589_10090.fasta	sp|Q78DX7|ROS1_MOUSE	3.71565606589e-90	0.614935844419	Ortholog
UP000000803_7227.fasta	sp|P13678|KPC3_DROME	UP000000589_10090.fasta	sp|P16054|KPCE_MOUSE	1e-200	1.37523445952	Ortholog
UP000000803_7227.fasta	sp|P16912|KAPC3_DROME	UP000000589_10090.fasta	sp|Q922R0|PRKX_MOUSE	1.3164953475e-151	1.03748086906	Ortholog
UP000000803_7227.fasta	sp|P18106|FER_DROME	UP000000589_10090.fasta	sp|P16879|FES_MOUSE	4.22412121038e-132	0.903352072177	Ortholog
UP000000803_7227.fasta	sp|P18431|SGG_DROME	UP000000589_10090.fasta	sp|Q9WV60|GSK3B_MOUSE	1e-200	1.37523445952	Ortholog
UP000000803_7227.fasta	sp|P23572|CDK1_DROME	UP000000589_10090.fasta	sp|P11440|CDK1_MOUSE	3.31e-164	1.12411782995	Ortholog
UP000000803_7227.fasta	sp|P23647|FUSED_DROME	UP000000589_10090.fasta	sp|Q69ZM6|STK36_MOUSE	4.97183064877e-91	0.620942312807	Ortholog
UP000000803_7227.fasta	sp|P32865|GPRK1_DROME	UP000000589_10090.fasta	sp|Q99MK8|ARBK1_MOUSE	1e-200	1.37523445952	Ortholog
UP000000803_7227.fasta	sp|P32866|GPRK2_DROME	UP000000589_10090.fasta	sp|Q8VEB1|GRK5_MOUSE	1e-200	1.37523445952	Ortholog
UP000000803_7227.fasta	sp|P40417|ERKA_DROME	UP000000589_10090.fasta	sp|P63085|MK01_MOUSE	1e-200	1.37523445952	Ortholog
UP000000803_7227.fasta	sp|P48609|CDK5_DROME	UP000000589_10090.fasta	sp|P49615|CDK5_MOUSE	2.62998098852e-175	1.20044248558	Ortholog
UP000000803_7227.fasta	sp|P49071|MAPK2_DROME	UP000000589_10090.fasta	sp|P49138|MAPK2_MOUSE	1.27281577614e-171	1.17510507692	Ortholog
UP000000803_7227.fasta	sp|P49657|MNB_DROME	UP000000589_10090.fasta	sp|Q61214|DYR1A_MOUSE	1e-200	1.37523445952	Ortholog
UP000000803_7227.fasta	sp|P49762|DOA_DROME	UP000000589_10090.fasta	sp|O35491|CLK2_MOUSE	1.99248588452e-190	1.30441404319	Ortholog
UP000000803_7227.fasta	sp|P52304|POLO_DROME	UP000000589_10090.fasta	sp|Q07832|PLK1_MOUSE	1e-200	1.37523445952	Ortholog
UP000000803_7227.fasta	sp|P54350|WEE1_DROME	UP000000589_10090.fasta	sp|P47810|WEE1_MOUSE	7.31846978541e-125	0.853577634387	Ortholog
UP000000803_7227.fasta	sp|P54352|EAS_DROME	UP000000589_10090.fasta	sp|A7MCT6|EKI2_MOUSE	7.88796551717e-91	0.619563993172	Ortholog
UP000000803_7227.fasta	sp|P54367|KC1A_DROME	UP000000589_10090.fasta	sp|Q8BK63|KC1A_MOUSE	1e-200	1.37523445952	Ortholog
UP000000803_7227.fasta	sp|P83098|STLK_DROME	UP000000589_10090.fasta	sp|Q3UUJ4|STRAA_MOUSE	8.43442944128e-52	0.351193240859	Ortholog
UP000000803_7227.fasta	sp|P83099|KPC4_DROME	UP000000589_10090.fasta	sp|P28867|KPCD_MOUSE	1e-200	1.37523445952	Ortholog
UP000000803_7227.fasta	sp|P83102|DYRK3_DROME	UP000000589_10090.fasta	sp|Q5U4C9|DYRK2_MOUSE	1e-200	1.37523445952	Ortholog
UP000000803_7227.fasta	sp|P83103|HASP_DROME	UP000000589_10090.fasta	sp|Q9Z0R0|HASP_MOUSE	5.91829367301e-80	0.544784027546	Ortholog
UP000000803_7227.fasta	tr|P91634|P91634_DROME	UP000000589_10090.fasta	sp|O35904|PK3CD_MOUSE	1e-200	1.37523445952	Ortholog
UP000000803_7227.fasta	sp|P92208|JNK_DROME	UP000000589_10090.fasta	sp|Q61831|MK10_MOUSE	1e-200	1.37523445952	Ortholog
UP000000803_7227.fasta	sp|Q00168|KCC2A_DROME	UP000000589_10090.fasta	sp|Q6PHZ2|KCC2D_MOUSE	1e-200	1.37523445952	Ortholog
UP000000803_7227.fasta	sp|Q03043|KGP24_DROME	UP000000589_10090.fasta	sp|P0C605|KGP1_MOUSE	1e-200	1.37523445952	Ortholog
UP000000803_7227.fasta	sp|Q05652|KPEL_DROME	UP000000589_10090.fasta	sp|Q62406|IRAK1_MOUSE	5.39962961693e-43	0.290639547949	Ortholog
UP000000803_7227.fasta	sp|Q07407|FGFR1_DROME	UP000000589_10090.fasta	sp|Q61851|FGFR3_MOUSE	6.26922642756e-156	1.06720109791	Ortholog
UP000000803_7227.fasta	tr|Q0E8Y1|Q0E8Y1_DROME	UP000000589_10090.fasta	sp|P70182|PI51A_MOUSE	1e-200	1.37523445952	Ortholog
UP000000803_7227.fasta	tr|Q0E981|Q0E981_DROME	UP000000589_10090.fasta	sp|Q8VDU5|SNRK_MOUSE	2.39582971014e-190	1.30386353208	Ortholog
UP000000803_7227.fasta	sp|Q0KHQ5|TAO_DROME	UP000000589_10090.fasta	sp|Q5F2E8|TAOK1_MOUSE	1.34548875878e-178	1.22307246738	Ortholog
UP000000803_7227.fasta	sp|Q0KHT7|DAPKR_DROME	UP000000589_10090.fasta	sp|Q8BG48|ST17B_MOUSE	8.0392785746e-72	0.488859976832	Ortholog
UP000000803_7227.fasta	tr|Q0KHV6|Q0KHV6_DROME	UP000000589_10090.fasta	sp|Q99MQ3|PINK1_MOUSE	5.55844402688e-74	0.503714323212	Ortholog
UP000000803_7227.fasta	sp|Q23977|HEP_DROME	UP000000589_10090.fasta	sp|Q8CE90|MP2K7_MOUSE	4.082021558e-138	0.944711293294	Ortholog
UP000000803_7227.fasta	tr|Q24171|Q24171_DROME	UP000000589_10090.fasta	sp|Q3UVC0|KSR2_MOUSE	4.1421009162e-99	0.67649694175	Ortholog
UP000000803_7227.fasta	sp|Q24210|CSKP_DROME	UP000000589_10090.fasta	sp|O70589|CSKP_MOUSE	1e-200	1.37523445952	Ortholog
UP000000803_7227.fasta	tr|Q24216|Q24216_DROME	UP000000589_10090.fasta	sp|Q03147|CDK7_MOUSE	1.11995535625e-171	1.17548715032	Ortholog
UP000000803_7227.fasta	sp|Q24324|DSOR1_DROME	UP000000589_10090.fasta	sp|P31938|MP2K1_MOUSE	7.2121425388e-178	1.21805847099	Ortholog
UP000000803_7227.fasta	sp|Q24488|ROR1_DROME	UP000000589_10090.fasta	sp|Q9Z139|ROR1_MOUSE	4.18408890919e-133	0.91025668066	Ortholog
UP000000803_7227.fasta	sp|Q24592|JAK_DROME	UP000000589_10090.fasta	sp|Q62120|JAK2_MOUSE	3.37309946488e-66	0.450196552243	Ortholog
UP000000803_7227.fasta	tr|Q59DZ7|Q59DZ7_DROME	UP000000589_10090.fasta	sp|Q62371|DDR2_MOUSE	9.45970401228e-83	0.56401199854	Ortholog
UP000000803_7227.fasta	sp|Q5EAK6|ATM_DROME	UP000000589_10090.fasta	sp|Q62388|ATM_MOUSE	1.04627912146e-148	1.01753840004	Ortholog
UP000000803_7227.fasta	sp|Q70PP2|SMG1_DROME	UP000000589_10090.fasta	sp|Q8BKX6|SMG1_MOUSE	2.71263709331e-167	1.14534069772	Ortholog
UP000000803_7227.fasta	tr|Q7JMV3|Q7JMV3_DROME	UP000000589_10090.fasta	sp|Q8BW96|KCC1D_MOUSE	2.3596609926e-154	1.05636675565	Ortholog
UP000000803_7227.fasta	tr|Q7K306|Q7K306_DROME	UP000000589_10090.fasta	sp|Q64261|CDK6_MOUSE	5.19952882481e-97	0.662065621111	Ortholog
UP000000803_7227.fasta	tr|Q7K3H0|Q7K3H0_DROME	UP000000589_10090.fasta	sp|Q61194|P3C2A_MOUSE	1e-200	1.37523445952	Ortholog
UP000000803_7227.fasta	tr|Q7KJ08|Q7KJ08_DROME	UP000000589_10090.fasta	sp|P97793|ALK_MOUSE	1.86903718529e-165	1.13270073733	Ortholog
UP000000803_7227.fasta	sp|Q7KRY6|NHK1_DROME	UP000000589_10090.fasta	sp|Q80X41|VRK1_MOUSE	1.71815889836e-80	0.548477447879	Ortholog
UP000000803_7227.fasta	tr|Q7KSD3|Q7KSD3_DROME	UP000000589_10090.fasta	sp|Q6P9R2|OXSR1_MOUSE	1e-200	1.37523445952	Ortholog
UP000000803_7227.fasta	tr|Q7KT06|Q7KT06_DROME	UP000000589_10090.fasta	sp|P35546|RET_MOUSE	8.17220900369e-125	0.853248133842	Ortholog
UP000000803_7227.fasta	tr|Q7KV26|Q7KV26_DROME	UP000000589_10090.fasta	tr|B2RXC2|B2RXC2_MOUSE	5.23937019116e-126	0.861451822578	Ortholog
UP000000803_7227.fasta	tr|Q7KVD1|Q7KVD1_DROME	UP000000589_10090.fasta	sp|Q0KL02|TRIO_MOUSE	1e-200	1.37523445952	Ortholog
UP000000803_7227.fasta	sp|Q7PLI7|DCLK_DROME	UP000000589_10090.fasta	sp|Q6PGN3|DCLK2_MOUSE	1.17200682592e-156	1.0722089029	Ortholog
UP000000803_7227.fasta	sp|Q8I8U7|TRA1_DROME	UP000000589_10090.fasta	sp|Q80YV3|TRRAP_MOUSE	1e-200	1.37523445952	Ortholog
UP000000803_7227.fasta	sp|Q8IMC6|ASATR_DROME	UP000000589_10090.fasta	sp|Q6PCN3|TTBK1_MOUSE	1.79737586498e-156	1.07093193743	Ortholog
UP000000803_7227.fasta	tr|Q8IMF4|Q8IMF4_DROME	UP000000589_10090.fasta	sp|O55229|CHKB_MOUSE	2.32600515907e-44	0.300030702936	Ortholog
UP000000803_7227.fasta	sp|Q8INB9|AKT1_DROME	UP000000589_10090.fasta	sp|Q9WUA6|AKT3_MOUSE	1e-200	1.37523445952	Ortholog
UP000000803_7227.fasta	tr|Q8INJ8|Q8INJ8_DROME	UP000000589_10090.fasta	sp|P41241|CSK_MOUSE	1.05992452561e-160	1.10001377276	Ortholog
UP000000803_7227.fasta	sp|Q8IR79|LIMK1_DROME	UP000000589_10090.fasta	sp|P53668|LIMK1_MOUSE	2.32637056378e-173	1.18705646023	Ortholog
UP000000803_7227.fasta	tr|Q8MQJ7|Q8MQJ7_DROME	UP000000589_10090.fasta	sp|O70405|ULK1_MOUSE	8.35595595967e-110	0.750039148402	Ortholog
UP000000803_7227.fasta	tr|Q8MSQ4|Q8MSQ4_DROME	UP000000589_10090.fasta	sp|O08648|M3K4_MOUSE	7.3108822997e-116	0.79169518137	Ortholog
UP000000803_7227.fasta	tr|Q8SXX1|Q8SXX1_DROME	UP000000589_10090.fasta	sp|Q80XI4|PI42B_MOUSE	6.29821403257e-153	1.04655880488	Ortholog
UP000000803_7227.fasta	sp|Q8T0S6|HIPPO_DROME	UP000000589_10090.fasta	sp|Q9JI10|STK3_MOUSE	1.08637010268e-171	1.1755780733	Ortholog
UP000000803_7227.fasta	tr|Q8T9L5|Q8T9L5_DROME	UP000000589_10090.fasta	sp|Q9WTK7|STK11_MOUSE	2.00399600798e-148	1.01559760527	Ortholog
UP000000803_7227.fasta	tr|Q94533|Q94533_DROME	UP000000589_10090.fasta	sp|Q8BSK8|KS6B1_MOUSE	1e-200	1.37523445952	Ortholog
UP000000803_7227.fasta	sp|Q95RR8|PAN3_DROME	UP000000589_10090.fasta	sp|Q640Q5|PAN3_MOUSE	2.67449995326e-167	1.14538298	Ortholog
UP000000803_7227.fasta	tr|Q95SH0|Q95SH0_DROME	UP000000589_10090.fasta	sp|Q8CEE6|PASK_MOUSE	8.86820162152e-99	0.674223576852	Ortholog
UP000000803_7227.fasta	sp|Q95T10|XYLK_DROME	UP000000589_10090.fasta	sp|Q8VCS3|XYLK_MOUSE	1.28984495192e-84	0.576838398045	Ortholog
UP000000803_7227.fasta	tr|Q95TN8|Q95TN8_DROME	UP000000589_10090.fasta	sp|Q8C0P0|GWL_MOUSE	8.38951726859e-70	0.474980286252	Ortholog
UP000000803_7227.fasta	sp|Q95UN8|M3KSL_DROME	UP000000589_10090.fasta	sp|Q66L42|M3K10_MOUSE	2.33128290861e-174	1.19392633336	Ortholog
UP000000803_7227.fasta	tr|Q9I7D0|Q9I7D0_DROME	UP000000589_10090.fasta	sp|Q9DB30|PHKG2_MOUSE	5.84333808709e-128	0.874878360861	Ortholog
UP000000803_7227.fasta	sp|Q9NBK5|TRC_DROME	UP000000589_10090.fasta	sp|Q7TSE6|ST38L_MOUSE	1e-200	1.37523445952	Ortholog
UP000000803_7227.fasta	sp|Q9NI63|PMYT1_DROME	UP000000589_10090.fasta	sp|Q9ESG9|PMYT1_MOUSE	3.43204020955e-79	0.539535061157	Ortholog
UP000000803_7227.fasta	sp|Q9NIV1|E2AK3_DROME	UP000000589_10090.fasta	sp|Q9Z2B5|E2AK3_MOUSE	4.343270657e-114	0.779497903069	Ortholog
UP000000803_7227.fasta	sp|Q9V3D5|DYRK2_DROME	UP000000589_10090.fasta	sp|Q8BI55|DYRK4_MOUSE	7.1714712577e-165	1.12868511927	Ortholog
UP000000803_7227.fasta	sp|Q9V3I5|JIL1_DROME	UP000000589_10090.fasta	sp|Q8C050|KS6A5_MOUSE	1.18362578546e-169	1.16156968334	Ortholog
UP000000803_7227.fasta	sp|Q9V3Q6|M3K7_DROME	UP000000589_10090.fasta	sp|Q62073|M3K7_MOUSE	2.2716513817e-106	0.726423996733	Ortholog
UP000000803_7227.fasta	tr|Q9V3Y8|Q9V3Y8_DROME	UP000000589_10090.fasta	sp|Q9WUN2|TBK1_MOUSE	1.42996503454e-157	1.07849100638	Ortholog
UP000000803_7227.fasta	sp|Q9V3Z1|TRIB_DROME	UP000000589_10090.fasta	sp|Q8K4K3|TRIB2_MOUSE	3.4233901326e-57	0.388266806708	Ortholog
UP000000803_7227.fasta	tr|Q9V400|Q9V400_DROME	UP000000589_10090.fasta	sp|O55222|ILK_MOUSE	1e-200	1.37523445952	Ortholog
UP000000803_7227.fasta	sp|Q9V422|RYK2_DROME	UP000000589_10090.fasta	sp|Q01887|RYK_MOUSE	1.74114904589e-118	0.809732301633	Ortholog
UP000000803_7227.fasta	tr|Q9V4E5|Q9V4E5_DROME	UP000000589_10090.fasta	sp|Q8CBF3|EPHB1_MOUSE	1e-200	1.37523445952	Ortholog
UP000000803_7227.fasta	sp|Q9V6K3|ROR2_DROME	UP000000589_10090.fasta	sp|Q61006|MUSK_MOUSE	6.05154525721e-122	0.833516773013	Ortholog
UP000000803_7227.fasta	sp|Q9V9J3|SRC42_DROME	UP000000589_10090.fasta	sp|Q922K9|FRK_MOUSE	1e-200	1.37523445952	Ortholog
UP000000803_7227.fasta	sp|Q9VA38|WARTS_DROME	UP000000589_10090.fasta	sp|Q8BYR2|LATS1_MOUSE	1e-200	1.37523445952	Ortholog
UP000000803_7227.fasta	tr|Q9VAH7|Q9VAH7_DROME	UP000000589_10090.fasta	sp|Q9EQC5|SCYL1_MOUSE	1e-200	1.37523445952	Ortholog
UP000000803_7227.fasta	tr|Q9VAR0|Q9VAR0_DROME	UP000000589_10090.fasta	sp|Q8CFE4|SCYL2_MOUSE	1e-200	1.37523445952	Ortholog
UP000000803_7227.fasta	tr|Q9VBU2|Q9VBU2_DROME	UP000000589_10090.fasta	sp|Q9CQS5|RIOK2_MOUSE	1.29496331994e-157	1.07878714904	Ortholog
UP000000803_7227.fasta	tr|Q9VC32|Q9VC32_DROME	UP000000589_10090.fasta	sp|Q91ZR4|NEK8_MOUSE	5.57411876443e-103	0.703114910414	Ortholog
UP000000803_7227.fasta	tr|Q9VD82|Q9VD82_DROME	UP000000589_10090.fasta	sp|Q9JHU3|CDK20_MOUSE	4.10045119469e-83	0.566508364705	Ortholog
UP000000803_7227.fasta	tr|Q9VDS9|Q9VDS9_DROME	UP000000589_10090.fasta	sp|A2AQW0|M3K15_MOUSE	1e-200	1.37523445952	Ortholog
UP000000803_7227.fasta	tr|Q9VE06|Q9VE06_DROME	UP000000589_10090.fasta	sp|O70146|TESK1_MOUSE	2.67105971479e-104	0.712187969018	Ortholog
UP000000803_7227.fasta	tr|Q9VE58|Q9VE58_DROME	UP000000589_10090.fasta	sp|Q61241|TSSK1_MOUSE	3.89245423865e-85	0.580416166708	Ortholog
UP000000803_7227.fasta	tr|Q9VEN3|Q9VEN3_DROME	UP000000589_10090.fasta	sp|Q9Z2W1|STK25_MOUSE	7.50999334221e-168	1.14917589756	Ortholog
UP000000803_7227.fasta	sp|Q9VEZ5|IKKB_DROME	UP000000589_10090.fasta	sp|O88351|IKKB_MOUSE	7.77994215917e-51	0.344558280156	Ortholog
UP000000803_7227.fasta	tr|Q9VF17|Q9VF17_DROME	UP000000589_10090.fasta	sp|P18293|ANPRA_MOUSE	1e-200	1.37523445952	Ortholog
UP000000803_7227.fasta	tr|Q9VGF9|Q9VGF9_DROME	UP000000589_10090.fasta	sp|P97477|AURKA_MOUSE	9.32316469875e-128	0.8734831694	Ortholog
UP000000803_7227.fasta	tr|Q9VGI4|Q9VGI4_DROME	UP000000589_10090.fasta	sp|O08605|MKNK1_MOUSE	9.74484479097e-140	0.955865134905	Ortholog
UP000000803_7227.fasta	tr|Q9VHF6|Q9VHF6_DROME	UP000000589_10090.fasta	sp|Q3U3Q1|ULK3_MOUSE	4.83124207632e-119	0.81356079725	Ortholog
UP000000803_7227.fasta	tr|Q9VHH2|Q9VHH2_DROME	UP000000589_10090.fasta	sp|Q8VD65|PI3R4_MOUSE	1e-200	1.37523445952	Ortholog
UP000000803_7227.fasta	tr|Q9VI84|Q9VI84_DROME	UP000000589_10090.fasta	sp|O88697|STK16_MOUSE	4.1888065126e-77	0.525187666826	Ortholog
UP000000803_7227.fasta	tr|Q9VJ30|Q9VJ30_DROME	UP000000589_10090.fasta	sp|Q3UHJ0|AAK1_MOUSE	1.79891634047e-133	0.912777416234	Ortholog
UP000000803_7227.fasta	tr|Q9VJ68|Q9VJ68_DROME	UP000000589_10090.fasta	sp|Q5U5V2|HYKK_MOUSE	8.15919726444e-56	0.37879700384	Ortholog
UP000000803_7227.fasta	tr|Q9VJ90|Q9VJ90_DROME	UP000000589_10090.fasta	sp|Q9Z0H0|CDC7_MOUSE	8.49146630447e-84	0.571210627956	Ortholog
