Species_1	Protein_1	Domain_1	Species_2	Protein_2	Domain_2	E-value	Weight	Relationship
UP000000803_7227.fasta	tr|A0A4D6K881|A0A4D6K881_DROME	dom1_1385_1674	UP000000589_10090.fasta	sp|Q8BKC8|PI4KB_MOUSE	dom1_529_816	3.78998680736e-141	1.11113003658	Ortholog
UP000000803_7227.fasta	tr|A1Z6G6|A1Z6G6_DROME	dom1_65_248	UP000000589_10090.fasta	sp|Q9DBQ7|PACE1_MOUSE	dom1_11_245	2.29296750958e-20	0.155404786287	Ortholog
UP000000803_7227.fasta	tr|A1Z6I7|A1Z6I7_DROME	dom1_1175_1436	UP000000589_10090.fasta	sp|O08901|BUB1_MOUSE	dom1_763_1039	4.49326162158e-57	0.445867567057	Ortholog
UP000000803_7227.fasta	tr|A1Z782|A1Z782_DROME	dom1_155_435	UP000000589_10090.fasta	sp|Q8BX57|PXK_MOUSE	dom1_149_396	2.3953079134e-69	0.542983286048	Ortholog
UP000000803_7227.fasta	tr|A1Z7L8|A1Z7L8_DROME	dom1_324_614	UP000000589_10090.fasta	sp|Q64729|TGFR1_MOUSE	dom1_205_494	8.03498599874e-167	1.31428122423	Ortholog
UP000000803_7227.fasta	sp|A1Z7T0|PKN_DROME	dom1_862_1122	UP000000589_10090.fasta	sp|Q8BWW9|PKN2_MOUSE	dom1_655_915	3.91910704115e-164	1.29300994514	Ortholog
UP000000803_7227.fasta	tr|A1Z840|A1Z840_DROME	dom1_53_337	UP000000589_10090.fasta	sp|Q3UMM4|CDK10_MOUSE	dom1_38_323	1.94399074072e-143	1.12924996484	Ortholog
UP000000803_7227.fasta	sp|A1Z9X0|APKC_DROME	dom1_264_548	UP000000589_10090.fasta	sp|Q62074|KPCI_MOUSE	dom1_253_521	1e-200	1.58256552759	Ortholog
UP000000803_7227.fasta	tr|A1ZAH6|A1ZAH6_DROME	dom1_26_289	UP000000589_10090.fasta	sp|Q8QZX0|SBK1_MOUSE	dom1_51_328	2.03938716285e-58	0.456494985368	Ortholog
UP000000803_7227.fasta	tr|A1ZBH7|A1ZBH7_DROME	dom1_25_305	UP000000589_10090.fasta	sp|Q99JP0|M4K3_MOUSE	dom1_15_300	3.66278582502e-169	1.33280652739	Ortholog
UP000000803_7227.fasta	tr|A1ZBL9|A1ZBL9_DROME	dom1_247_537	UP000000589_10090.fasta	sp|Q03141|MARK3_MOUSE	dom1_55_329	1e-200	1.58256552759	Ortholog
UP000000803_7227.fasta	tr|A4V2C3|A4V2C3_DROME	dom1_280_573	UP000000589_10090.fasta	sp|Q8C078|KKCC2_MOUSE	dom1_162_446	1.01008415491e-107	0.84663807665	Ortholog
UP000000803_7227.fasta	sp|A4VCL2|FA20C_DROME	dom1_756_966	UP000000589_10090.fasta	sp|Q5MJS3|FA20C_MOUSE	dom1_349_565	1.12489999556e-104	0.822529618745	Ortholog
UP000000803_7227.fasta	sp|A8DYP0|OBSCN_DROME	dom2_3897_4151	UP000000589_10090.fasta	sp|Q62407|SPEG_MOUSE	dom2_2961_3213	1.21498971189e-55	0.434536311676	Ortholog
UP000000803_7227.fasta	tr|A8JR46|A8JR46_DROME	dom1_548_812	UP000000589_10090.fasta	sp|Q9EQY0|ERN1_MOUSE	dom1_571_832	2.63495730516e-110	0.867081531339	Ortholog
UP000000803_7227.fasta	tr|B7YZL9|B7YZL9_DROME	dom1_457_740	UP000000589_10090.fasta	sp|P34152|FAK1_MOUSE	dom1_415_738	1.04979998095e-116	0.917720993425	Ortholog
UP000000803_7227.fasta	tr|B7Z0W0|B7Z0W0_DROME	dom1_565_824	UP000000589_10090.fasta	sp|Q61036|PAK3_MOUSE	dom1_282_541	2.05e-172	1.35853949916	Ortholog
UP000000803_7227.fasta	tr|B7Z126|B7Z126_DROME	dom1_1161_1429	UP000000589_10090.fasta	sp|O55047|TLK2_MOUSE	dom1_408_687	1.27937484734e-162	1.28103142213	Ortholog
UP000000803_7227.fasta	tr|E1JHB7|E1JHB7_DROME	dom1_935_1335	UP000000589_10090.fasta	sp|P26618|PGFRA_MOUSE	dom1_593_955	1.17847358901e-93	0.735328628617	Ortholog
UP000000803_7227.fasta	tr|M9PDM4|M9PDM4_DROME	dom1_1805_2153	UP000000589_10090.fasta	sp|E9Q3L2|PI4KA_MOUSE	dom1_1736_2104	1e-200	1.58256552759	Ortholog
UP000000803_7227.fasta	tr|M9PE01|M9PE01_DROME	dom1_195_489	UP000000589_10090.fasta	sp|O35495|CDK14_MOUSE	dom1_128_419	1.16498927034e-150	1.18639935172	Ortholog
UP000000803_7227.fasta	tr|M9PE88|M9PE88_DROME	dom1_224_527	UP000000589_10090.fasta	sp|O35607|BMPR2_MOUSE	dom1_203_503	1.75997159068e-111	0.876381223858	Ortholog
UP000000803_7227.fasta	tr|M9PGC5|M9PGC5_DROME	dom1_468_729	UP000000589_10090.fasta	sp|Q80XP9|WNK3_MOUSE	dom1_143_404	7.83e-144	1.13237499709	Ortholog
UP000000803_7227.fasta	tr|O17432|O17432_DROME	dom1_48_347	UP000000589_10090.fasta	sp|Q99J95|CDK9_MOUSE	dom1_16_315	2.05192592459e-173	1.36644909981	Ortholog
UP000000803_7227.fasta	tr|O18645|O18645_DROME	dom1_27_320	UP000000589_10090.fasta	sp|Q8BRK8|AAPK2_MOUSE	dom1_16_284	1.46355731012e-168	1.32804618446	Ortholog
UP000000803_7227.fasta	sp|O61267|LOK_DROME	dom1_174_467	UP000000589_10090.fasta	sp|Q9Z265|CHK2_MOUSE	dom1_222_490	4.30581002832e-87	0.683398837641	Ortholog
UP000000803_7227.fasta	sp|O61443|MK38B_DROME	dom1_18_311	UP000000589_10090.fasta	sp|P47811|MK14_MOUSE	dom1_18_308	2.19997727261e-174	1.37412251285	Ortholog
UP000000803_7227.fasta	tr|O61444|O61444_DROME	dom1_117_389	UP000000589_10090.fasta	sp|P47809|MP2K4_MOUSE	dom1_99_394	1.68374582405e-146	1.15348234795	Ortholog
UP000000803_7227.fasta	sp|O61661|CHK1_DROME	dom1_21_279	UP000000589_10090.fasta	sp|O35280|CHK1_MOUSE	dom1_9_265	7.54994039712e-117	0.918853817864	Ortholog
UP000000803_7227.fasta	tr|O62602|O62602_DROME	dom1_44_307	UP000000589_10090.fasta	sp|O09110|MP2K3_MOUSE	dom1_62_325	1.02e-130	1.02859954125	Ortholog
UP000000803_7227.fasta	sp|O76324|DCO_DROME	dom1_9_275	UP000000589_10090.fasta	sp|Q9JMK2|KC1E_MOUSE	dom1_9_275	1e-200	1.58256552759	Ortholog
UP000000803_7227.fasta	sp|O96838|FYV1_DROME	dom1_1550_1796	UP000000589_10090.fasta	sp|Q9Z1T6|FYV1_MOUSE	dom1_1817_2083	3.86709193064e-88	0.69168095986	Ortholog
UP000000803_7227.fasta	sp|O97143|PLK4_DROME	dom1_13_421	UP000000589_10090.fasta	sp|Q64702|PLK4_MOUSE	dom1_6_284	1.12523775265e-122	0.964959484557	Ortholog
UP000000803_7227.fasta	sp|P00522|ABL_DROME	dom1_364_628	UP000000589_10090.fasta	sp|P00520|ABL1_MOUSE	dom1_241_499	1.20995867698e-159	1.25748464543	Ortholog
UP000000803_7227.fasta	sp|P04412|EGFR_DROME	dom1_938_1199	UP000000589_10090.fasta	sp|Q61527|ERBB4_MOUSE	dom1_717_980	2.58998069491e-126	0.993745938198	Ortholog
UP000000803_7227.fasta	sp|P05130|KPC1_DROME	dom1_350_620	UP000000589_10090.fasta	sp|P20444|KPCA_MOUSE	dom1_339_643	1.24273891063e-170	1.3444338866	Ortholog
UP000000803_7227.fasta	sp|P08181|CSK2A_DROME	dom1_37_322	UP000000589_10090.fasta	sp|Q60737|CSK21_MOUSE	dom1_39_324	1e-200	1.58256552759	Ortholog
UP000000803_7227.fasta	sp|P08630|BTKL_DROME	dom1_518_779	UP000000589_10090.fasta	sp|P24604|TEC_MOUSE	dom1_366_620	1.37491817938e-115	0.908881017448	Ortholog
UP000000803_7227.fasta	sp|P09208|INSR_DROME	dom1_1370_1652	UP000000589_10090.fasta	sp|Q60751|IGF1R_MOUSE	dom1_1000_1273	1.6397255868e-134	1.0586194562	Ortholog
UP000000803_7227.fasta	sp|P11346|KRAF1_DROME	dom1_422_691	UP000000589_10090.fasta	sp|Q99N57|RAF1_MOUSE	dom1_342_613	8.70492963785e-145	1.13992380694	Ortholog
UP000000803_7227.fasta	sp|P12370|KAPC1_DROME	dom1_43_350	UP000000589_10090.fasta	sp|P68181|KAPCB_MOUSE	dom1_43_298	1.08375735292e-176	1.39238125293	Ortholog
UP000000803_7227.fasta	sp|P13368|7LESS_DROME	dom1_2209_2483	UP000000589_10090.fasta	sp|Q78DX7|ROS1_MOUSE	dom1_1948_2213	3.1296006135e-101	0.795274873025	Ortholog
UP000000803_7227.fasta	sp|P13678|KPC3_DROME	dom1_405_665	UP000000589_10090.fasta	sp|P16054|KPCE_MOUSE	dom1_408_668	2.47e-165	1.30250921695	Ortholog
UP000000803_7227.fasta	sp|P16912|KAPC3_DROME	dom1_269_576	UP000000589_10090.fasta	sp|Q922R0|PRKX_MOUSE	dom1_45_300	5.77025129435e-135	1.06220852845	Ortholog
UP000000803_7227.fasta	sp|P18106|FER_DROME	dom1_1056_1316	UP000000589_10090.fasta	sp|P70451|FER_MOUSE	dom1_563_821	5.95494752286e-113	0.888018047517	Ortholog
UP000000803_7227.fasta	sp|P18431|SGG_DROME	dom1_52_338	UP000000589_10090.fasta	sp|Q9WV60|GSK3B_MOUSE	dom1_48_371	1e-200	1.58256552759	Ortholog
UP000000803_7227.fasta	sp|P23572|CDK1_DROME	dom1_3_287	UP000000589_10090.fasta	sp|P11440|CDK1_MOUSE	dom1_3_287	1.24e-163	1.28905167529	Ortholog
UP000000803_7227.fasta	sp|P23647|FUSED_DROME	dom1_1_273	UP000000589_10090.fasta	sp|Q69ZM6|STK36_MOUSE	dom1_3_255	1.29903810568e-100	0.790383693356	Ortholog
UP000000803_7227.fasta	sp|P32865|GPRK1_DROME	dom1_191_454	UP000000589_10090.fasta	sp|Q99MK8|ARBK1_MOUSE	dom1_191_472	1.76898275854e-170	1.3432205043	Ortholog
UP000000803_7227.fasta	sp|P32866|GPRK2_DROME	dom1_309_574	UP000000589_10090.fasta	sp|Q8VEB1|GRK5_MOUSE	dom1_186_448	2.78517503938e-148	1.1675784493	Ortholog
UP000000803_7227.fasta	sp|P40417|ERKA_DROME	dom1_30_326	UP000000589_10090.fasta	sp|Q63844|MK03_MOUSE	dom1_43_331	1e-200	1.58256552759	Ortholog
UP000000803_7227.fasta	sp|P48609|CDK5_DROME	dom1_4_286	UP000000589_10090.fasta	sp|P49615|CDK5_MOUSE	dom1_4_289	1.63996951191e-172	1.35930639527	Ortholog
UP000000803_7227.fasta	sp|P49071|MAPK2_DROME	dom1_17_283	UP000000589_10090.fasta	sp|P49138|MAPK2_MOUSE	dom1_35_318	2.87374320356e-142	1.11999390492	Ortholog
UP000000803_7227.fasta	sp|P49657|MNB_DROME	dom1_164_484	UP000000589_10090.fasta	sp|Q61214|DYR1A_MOUSE	dom1_159_479	1e-200	1.58256552759	Ortholog
UP000000803_7227.fasta	sp|P49762|DOA_DROME	dom1_479_799	UP000000589_10090.fasta	sp|O35491|CLK2_MOUSE	dom1_162_478	7.04485627958e-176	1.38594859819	Ortholog
UP000000803_7227.fasta	sp|P52304|POLO_DROME	dom1_25_321	UP000000589_10090.fasta	sp|Q07832|PLK1_MOUSE	dom1_51_305	9.98959458637e-130	1.02075834297	Ortholog
UP000000803_7227.fasta	sp|P54350|WEE1_DROME	dom1_235_517	UP000000589_10090.fasta	sp|P47810|WEE1_MOUSE	dom1_297_568	5.29395882115e-103	0.809294095897	Ortholog
UP000000803_7227.fasta	sp|P54352|EAS_DROME	dom1_154_505	UP000000589_10090.fasta	sp|Q9D4V0|EKI1_MOUSE	dom1_49_353	7.71506318833e-93	0.728871605908	Ortholog
UP000000803_7227.fasta	sp|P54367|KC1A_DROME	dom1_20_286	UP000000589_10090.fasta	sp|Q8BK63|KC1A_MOUSE	dom1_17_283	6e-172	1.354848977	Ortholog
UP000000803_7227.fasta	sp|P83098|STLK_DROME	dom1_10_298	UP000000589_10090.fasta	sp|Q3UUJ4|STRAA_MOUSE	dom1_69_379	8.09444253794e-53	0.412193538057	Ortholog
UP000000803_7227.fasta	sp|P83102|DYRK3_DROME	dom1_276_589	UP000000589_10090.fasta	sp|Q5U4C9|DYRK2_MOUSE	dom1_220_533	1e-200	1.58256552759	Ortholog
UP000000803_7227.fasta	sp|P83103|HASP_DROME	dom1_248_491	UP000000589_10090.fasta	sp|Q9Z0R0|HASP_MOUSE	dom1_440_678	1.41492049247e-66	0.521053907479	Ortholog
UP000000803_7227.fasta	tr|P91634|P91634_DROME	dom1_722_1086	UP000000589_10090.fasta	sp|O35904|PK3CD_MOUSE	dom1_675_1041	6.81498349228e-141	1.10911363358	Ortholog
UP000000803_7227.fasta	sp|P92208|JNK_DROME	dom1_24_320	UP000000589_10090.fasta	sp|Q91Y86|MK08_MOUSE	dom1_26_321	1e-200	1.58256552759	Ortholog
UP000000803_7227.fasta	sp|Q00168|KCC2A_DROME	dom1_12_294	UP000000589_10090.fasta	sp|Q6PHZ2|KCC2D_MOUSE	dom1_10_294	1e-200	1.58256552759	Ortholog
UP000000803_7227.fasta	sp|Q03043|KGP24_DROME	dom1_768_1036	UP000000589_10090.fasta	sp|P0C605|KGP1_MOUSE	dom1_359_629	1.48499158247e-155	1.22512946153	Ortholog
UP000000803_7227.fasta	sp|Q05652|KPEL_DROME	dom1_212_497	UP000000589_10090.fasta	sp|Q62406|IRAK1_MOUSE	dom1_211_519	2.43314611152e-44	0.345108733748	Ortholog
UP000000803_7227.fasta	sp|Q09147|FGFR2_DROME	dom1_711_1002	UP000000589_10090.fasta	sp|Q61851|FGFR3_MOUSE	dom1_466_748	1.28984495192e-117	0.924926169387	Ortholog
UP000000803_7227.fasta	tr|Q0E8Y1|Q0E8Y1_DROME	dom1_77_478	UP000000589_10090.fasta	sp|P70182|PI51A_MOUSE	dom1_65_440	1e-200	1.58256552759	Ortholog
UP000000803_7227.fasta	tr|Q0E981|Q0E981_DROME	dom1_15_282	UP000000589_10090.fasta	sp|Q8VDU5|SNRK_MOUSE	dom1_11_318	7.29218760044e-166	1.30670174259	Ortholog
UP000000803_7227.fasta	sp|Q0KHQ5|TAO_DROME	dom1_8_295	UP000000589_10090.fasta	sp|Q5F2E8|TAOK1_MOUSE	dom1_27_308	1.13995613951e-158	1.24977662073	Ortholog
UP000000803_7227.fasta	sp|Q0KHT7|DAPKR_DROME	dom1_36_295	UP000000589_10090.fasta	sp|Q8BG48|ST17B_MOUSE	dom1_31_298	1.66481230173e-76	0.599623275206	Ortholog
UP000000803_7227.fasta	tr|Q0KHV6|Q0KHV6_DROME	dom1_331_636	UP000000589_10090.fasta	sp|Q99MQ3|PINK1_MOUSE	dom1_156_508	2.83294899354e-80	0.629447723713	Ortholog
UP000000803_7227.fasta	sp|Q23977|HEP_DROME	dom1_197_456	UP000000589_10090.fasta	sp|Q8CE90|MP2K7_MOUSE	dom1_136_397	7.00495538887e-130	1.02197804592	Ortholog
UP000000803_7227.fasta	sp|Q24145|SHARK_DROME	dom1_660_923	UP000000589_10090.fasta	sp|P43404|ZAP70_MOUSE	dom1_337_594	2.65476929318e-74	0.582193994338	Ortholog
UP000000803_7227.fasta	tr|Q24171|Q24171_DROME	dom1_676_942	UP000000589_10090.fasta	sp|Q3UVC0|KSR2_MOUSE	dom1_676_940	6.86495447909e-101	0.792575421818	Ortholog
UP000000803_7227.fasta	sp|Q24210|CSKP_DROME	dom1_12_278	UP000000589_10090.fasta	sp|O70589|CSKP_MOUSE	dom1_12_277	6.77999262536e-140	1.10121849575	Ortholog
UP000000803_7227.fasta	tr|Q24216|Q24216_DROME	dom1_8_295	UP000000589_10090.fasta	sp|Q03147|CDK7_MOUSE	dom1_11_295	5.89489609747e-162	1.27578143233	Ortholog
UP000000803_7227.fasta	sp|Q24324|DSOR1_DROME	dom1_85_364	UP000000589_10090.fasta	sp|P31938|MP2K1_MOUSE	dom1_66_363	5.49909083395e-153	1.20480483436	Ortholog
UP000000803_7227.fasta	sp|Q24488|ROR1_DROME	dom1_405_676	UP000000589_10090.fasta	sp|Q9Z139|ROR1_MOUSE	dom1_473_749	2.16990783214e-118	0.931051459359	Ortholog
UP000000803_7227.fasta	tr|Q59DZ7|Q59DZ7_DROME	dom1_759_1040	UP000000589_10090.fasta	sp|Q62371|DDR2_MOUSE	dom1_563_854	4.71423376595e-93	0.730564384252	Ortholog
UP000000803_7227.fasta	sp|Q5EAK6|ATM_DROME	dom1_2401_2730	UP000000589_10090.fasta	sp|Q62388|ATM_MOUSE	dom1_2693_2978	2.71801398083e-122	0.961928813083	Ortholog
UP000000803_7227.fasta	sp|Q70PP2|SMG1_DROME	dom1_1894_2213	UP000000589_10090.fasta	sp|Q8BKX6|SMG1_MOUSE	dom1_2119_2472	4.57423217601e-128	1.00761695352	Ortholog
UP000000803_7227.fasta	tr|Q7JMV3|Q7JMV3_DROME	dom1_25_311	UP000000589_10090.fasta	sp|Q8BW96|KCC1D_MOUSE	dom1_23_279	6.63969878835e-131	1.03007490216	Ortholog
UP000000803_7227.fasta	tr|Q7K306|Q7K306_DROME	dom1_24_312	UP000000589_10090.fasta	sp|Q64261|CDK6_MOUSE	dom1_13_300	9.05498757592e-98	0.767885419822	Ortholog
UP000000803_7227.fasta	tr|Q7K3H0|Q7K3H0_DROME	dom1_1223_1583	UP000000589_10090.fasta	tr|E9QAN8|E9QAN8_MOUSE	dom1_981_1341	3.98336541131e-147	1.15843598682	Ortholog
UP000000803_7227.fasta	tr|Q7KJ08|Q7KJ08_DROME	dom1_1193_1466	UP000000589_10090.fasta	sp|P97793|ALK_MOUSE	dom1_1120_1389	1.89997368403e-115	0.907769496762	Ortholog
UP000000803_7227.fasta	sp|Q7KRY6|NHK1_DROME	dom1_47_329	UP000000589_10090.fasta	sp|Q80X41|VRK1_MOUSE	dom1_37_326	6.79446833829e-75	0.58687736997	Ortholog
UP000000803_7227.fasta	tr|Q7KSD3|Q7KSD3_DROME	dom1_37_326	UP000000589_10090.fasta	sp|Q6P9R2|OXSR1_MOUSE	dom1_16_306	1.95499360613e-167	1.31913843263	Ortholog
UP000000803_7227.fasta	tr|Q7KT06|Q7KT06_DROME	dom1_771_1048	UP000000589_10090.fasta	sp|P35546|RET_MOUSE	dom1_725_1008	4.4822985175e-116	0.912732792647	Ortholog
UP000000803_7227.fasta	tr|Q7KV26|Q7KV26_DROME	dom1_441_651	UP000000589_10090.fasta	sp|Q8R071|IP3KA_MOUSE	dom1_243_454	7.33997275199e-104	0.816083983393	Ortholog
UP000000803_7227.fasta	sp|Q7PLI7|DCLK_DROME	dom1_477_735	UP000000589_10090.fasta	sp|Q6PGN3|DCLK2_MOUSE	dom1_387_650	5.42976979254e-106	0.832945530916	Ortholog
UP000000803_7227.fasta	sp|Q8I8U7|TRA1_DROME	dom1_3425_3712	UP000000589_10090.fasta	sp|Q80YV3|TRRAP_MOUSE	dom1_2202_2489	1.89e-134	1.05813130888	Ortholog
UP000000803_7227.fasta	sp|Q8IMC6|ASATR_DROME	dom1_173_433	UP000000589_10090.fasta	sp|Q6PCN3|TTBK1_MOUSE	dom1_34_295	8.76498716485e-161	1.26650542129	Ortholog
UP000000803_7227.fasta	tr|Q8IMF4|Q8IMF4_DROME	dom1_172_350	UP000000589_10090.fasta	sp|O55229|CHKB_MOUSE	dom1_69_385	1.07855458833e-44	0.347904541949	Ortholog
UP000000803_7227.fasta	sp|Q8INB9|AKT1_DROME	dom1_261_553	UP000000589_10090.fasta	sp|Q60823|AKT2_MOUSE	dom1_152_433	9.60321821058e-167	1.31366852075	Ortholog
UP000000803_7227.fasta	tr|Q8INJ8|Q8INJ8_DROME	dom1_798_1046	UP000000589_10090.fasta	sp|P41241|CSK_MOUSE	dom1_192_446	7.88442769007e-117	0.918704845816	Ortholog
UP000000803_7227.fasta	sp|Q8IR79|LIMK1_DROME	dom1_399_694	UP000000589_10090.fasta	sp|P53668|LIMK1_MOUSE	dom1_334_611	2.43647286051e-114	0.899001973019	Ortholog
UP000000803_7227.fasta	tr|Q8MQJ7|Q8MQJ7_DROME	dom1_1_274	UP000000589_10090.fasta	sp|O70405|ULK1_MOUSE	dom1_7_278	3.54592724122e-124	0.97684070979	Ortholog
UP000000803_7227.fasta	tr|Q8MSQ4|Q8MSQ4_DROME	dom1_1280_1542	UP000000589_10090.fasta	sp|O08648|M3K4_MOUSE	dom1_1328_1591	1.91499347257e-115	0.907742437168	Ortholog
UP000000803_7227.fasta	tr|Q8SXX1|Q8SXX1_DROME	dom1_24_403	UP000000589_10090.fasta	sp|Q80XI4|PI42B_MOUSE	dom1_30_415	6.3654379268e-153	1.20430207391	Ortholog
UP000000803_7227.fasta	sp|Q8T0S6|HIPPO_DROME	dom1_41_294	UP000000589_10090.fasta	sp|Q9JI10|STK3_MOUSE	dom1_27_290	6.70874056735e-162	1.27533700961	Ortholog
UP000000803_7227.fasta	tr|Q8T9L5|Q8T9L5_DROME	dom1_167_440	UP000000589_10090.fasta	sp|Q9WTK7|STK11_MOUSE	dom1_44_365	9.35970084992e-137	1.07637195785	Ortholog
UP000000803_7227.fasta	tr|Q94533|Q94533_DROME	dom1_77_392	UP000000589_10090.fasta	sp|Q8BSK8|KS6B1_MOUSE	dom1_90_352	2.81803122765e-157	1.23875359558	Ortholog
UP000000803_7227.fasta	sp|Q95RR8|PAN3_DROME	dom1_385_654	UP000000589_10090.fasta	sp|Q640Q5|PAN3_MOUSE	dom1_425_695	5.08299124532e-88	0.690741431337	Ortholog
UP000000803_7227.fasta	tr|Q95SH0|Q95SH0_DROME	dom1_575_853	UP000000589_10090.fasta	sp|Q8CEE6|PASK_MOUSE	dom1_1057_1325	1.8846750383e-103	0.812843347893	Ortholog
UP000000803_7227.fasta	tr|Q95TN8|Q95TN8_DROME	dom1_57_242	UP000000589_10090.fasta	sp|Q8C0P0|GWL_MOUSE	dom1_34_821	2.64907531037e-74	0.582201372897	Ortholog
UP000000803_7227.fasta	sp|Q95UN8|M3KSL_DROME	dom1_137_401	UP000000589_10090.fasta	sp|Q3U1V8|M3K9_MOUSE	dom1_134_401	7.36486252418e-126	0.990154558014	Ortholog
UP000000803_7227.fasta	tr|Q9I7D0|Q9I7D0_DROME	dom1_20_297	UP000000589_10090.fasta	sp|Q9DB30|PHKG2_MOUSE	dom1_21_291	1.06489436096e-128	1.01262586581	Ortholog
UP000000803_7227.fasta	sp|Q9NBK5|TRC_DROME	dom1_92_394	UP000000589_10090.fasta	sp|Q7TSE6|ST38L_MOUSE	dom1_87_390	1e-200	1.58256552759	Ortholog
UP000000803_7227.fasta	sp|Q9NI63|PMYT1_DROME	dom1_84_367	UP000000589_10090.fasta	sp|Q9ESG9|PMYT1_MOUSE	dom1_97_353	5.79274546308e-85	0.666553776097	Ortholog
UP000000803_7227.fasta	sp|Q9NIV1|E2AK3_DROME	dom2_895_1123	UP000000589_10090.fasta	sp|Q9Z2B5|E2AK3_MOUSE	dom1_589_1075	6.5902807224e-62	0.484115468025	Ortholog
UP000000803_7227.fasta	sp|Q9V3D5|DYRK2_DROME	dom1_198_494	UP000000589_10090.fasta	sp|Q8BI55|DYRK4_MOUSE	dom1_219_515	2.04e-151	1.19238692318	Ortholog
UP000000803_7227.fasta	sp|Q9V3I5|JIL1_DROME	dom1_261_530	UP000000589_10090.fasta	sp|Q8C050|KS6A5_MOUSE	dom1_48_317	1.12e-132	1.04410379448	Ortholog
UP000000803_7227.fasta	sp|Q9V3Q6|M3K7_DROME	dom1_16_273	UP000000589_10090.fasta	sp|Q62073|M3K7_MOUSE	dom1_31_298	6.45378958442e-106	0.832351804676	Ortholog
UP000000803_7227.fasta	tr|Q9V3Y8|Q9V3Y8_DROME	dom1_10_330	UP000000589_10090.fasta	sp|Q9WUN2|TBK1_MOUSE	dom1_9_304	1.86349134691e-141	1.11356964298	Ortholog
UP000000803_7227.fasta	sp|Q9V3Z1|TRIB_DROME	dom1_140_397	UP000000589_10090.fasta	sp|Q8K4K3|TRIB2_MOUSE	dom1_64_308	6.81762421962e-61	0.476086091199	Ortholog
UP000000803_7227.fasta	tr|Q9V400|Q9V400_DROME	dom1_181_445	UP000000589_10090.fasta	sp|O55222|ILK_MOUSE	dom1_193_448	1.09981816679e-120	0.949212351479	Ortholog
UP000000803_7227.fasta	sp|Q9V422|RYK2_DROME	dom1_315_576	UP000000589_10090.fasta	sp|Q01887|RYK_MOUSE	dom1_317_586	1.30441557795e-95	0.750805358873	Ortholog
UP000000803_7227.fasta	tr|Q9V4E5|Q9V4E5_DROME	dom1_707_1001	UP000000589_10090.fasta	sp|Q03137|EPHA4_MOUSE	dom1_597_883	6.16441400297e-163	1.28354062733	Ortholog
